SnailID,Treatment,Status,Theta_circmean,Alpha_circmean,Theta_circrho,Alpha_circrho,Position_mean,Vel_mean,Position_sd,Vel_sd
83,Gradient,Uninfected,-0.766972849,4.56764E-05,0.050548906,0.715606834,29.31687755,0.012706586,18.72823976,0.017269713
84,Gradient,Uninfected,0.273510697,0.010807159,0.150147479,0.805682194,18.12014985,0.005163849,12.1920836,0.010417646
85,Gradient,Uninfected,0.070022152,0.011951716,0.14860619,0.892358255,21.28501903,0.001701562,1.867137414,0.005735653
86,Gradient,Uninfected,-0.15435624,0.004386603,0.107043261,0.878201583,42.64605084,0.003975526,9.999170324,0.00990397
87,Gradient,Uninfected,0.020176679,0.008166817,0.139059388,0.813039109,30.38666667,0.011634089,14.9366071,0.017894117
88,Gradient,Uninfected,-0.15567038,-0.001369458,0.171653284,0.869418255,26.21747383,0.004538213,8.340044752,0.01070065
89,Gradient,Uninfected,-3.037554121,0.017611619,0.060422267,0.713604552,20.24871041,0.013203141,7.884785407,0.019926313
90,Gradient,Uninfected,2.933596374,0.015733193,0.016791226,0.808931455,22.33436945,0.007427495,8.72896539,0.01395685
91,Gradient,Uninfected,0.003157334,0.022947969,0.06028974,0.69158895,16.70145241,0.01905542,10.8869257,0.019376772
92,Gradient,Uninfected,1.714551839,0.007822719,0.006801644,0.776599475,18.21374889,0.016717499,9.435572231,0.021198712
93,Gradient,Infected,-0.50839705,0.023053279,0.115042797,0.837389054,21.5995174,0.00306975,3.461615223,0.009634709
94,Gradient,Infected,-2.884189915,-0.002569894,0.134700305,0.860561013,22.40899946,0.001383951,3.145593189,0.005461261
95,Gradient,Infected,-0.474338349,0.014286362,0.096839381,0.761521298,26.11092985,0.00440687,3.16662133,0.01091533
96,Gradient,Infected,-1.966593152,0.00146505,0.046826416,0.829570746,21.27159971,0.001855183,2.297348086,0.005897105
97,Gradient,Infected,-0.032479301,0.009715725,0.340733362,0.880027033,37.11196344,0.001644212,8.486213979,0.004931366
98,Gradient,Infected,-0.377774478,-0.011091444,0.010296693,0.870511981,25.80739528,0.001642277,0.871879263,0.007017442
99,Gradient,Infected,-0.370584095,-0.002388304,0.254609284,0.946062395,28.59144464,0.000697369,0.818013072,0.00324348
100,Gradient,Infected,-1.321010752,-0.008945559,0.059961767,0.886630521,25.49340401,0.001323017,1.089984037,0.004662653
101,Gradient,Infected,-0.961128581,0.002574228,0.035682536,0.803632389,43.67474511,0.01067699,7.29293768,0.025372728
102,Gradient,Infected,-0.98110104,-0.0001955,0.572494172,0.992254645,27.20392877,2.9803E-05,0.160305344,0.000572914
103,Gradient,Uninfected,-0.407747585,-0.016442456,0.028150929,0.79457437,21.33614482,0.026058348,11.88818553,0.022961742
